NAME,median_household_income,rent_burden_total_households,B25070_007E,B25070_008E,B25070_009E,B25070_010E,state,county,tract,GEOID,housing_cost_burden_ratio
Census Tract 2101.01; St. Louis County; Missouri,74306,100,0,23,0,8,29,189,210101,29189210101,0.31
Census Tract 2101.02; St. Louis County; Missouri,44107,645,132,22,143,225,29,189,210102,29189210102,0.8093023255813954
Census Tract 2102; St. Louis County; Missouri,30298,1529,73,278,99,754,29,189,210200,29189210200,0.7874427730542839
Census Tract 2103; St. Louis County; Missouri,55651,849,8,33,53,206,29,189,210300,29189210300,0.35335689045936397
Census Tract 2104; St. Louis County; Missouri,58244,629,96,45,18,173,29,189,210400,29189210400,0.5278219395866455
Census Tract 2105.01; St. Louis County; Missouri,49861,251,38,0,0,154,29,189,210501,29189210501,0.7649402390438247
Census Tract 2105.02; St. Louis County; Missouri,54004,394,0,0,12,198,29,189,210502,29189210502,0.5329949238578681
Census Tract 2106; St. Louis County; Missouri,44208,1373,7,232,0,690,29,189,210600,29189210600,0.6766205389657683
Census Tract 2107.02; St. Louis County; Missouri,52586,1175,83,142,162,370,29,189,210702,29189210702,0.6442553191489362
Census Tract 2107.03; St. Louis County; Missouri,64185,671,83,34,61,153,29,189,210703,29189210703,0.4932935916542474
Census Tract 2107.04; St. Louis County; Missouri,54780,1089,173,104,53,169,29,189,210704,29189210704,0.45821854912764004
Census Tract 2108.03; St. Louis County; Missouri,68000,481,11,93,17,71,29,189,210803,29189210803,0.3991683991683992
Census Tract 2108.05; St. Louis County; Missouri,74702,1058,99,204,150,242,29,189,210805,29189210805,0.6568998109640832
Census Tract 2108.06; St. Louis County; Missouri,68838,602,70,0,13,216,29,189,210806,29189210806,0.49667774086378735
Census Tract 2108.07; St. Louis County; Missouri,79113,432,23,45,8,172,29,189,210807,29189210807,0.5740740740740741
Census Tract 2108.08; St. Louis County; Missouri,97774,20,0,0,0,20,29,189,210808,29189210808,1.0
Census Tract 2109.12; St. Louis County; Missouri,89471,457,25,0,88,119,29,189,210912,29189210912,0.5076586433260394
Census Tract 2109.21; St. Louis County; Missouri,73925,352,73,0,0,88,29,189,210921,29189210921,0.45738636363636365
Census Tract 2109.23; St. Louis County; Missouri,65543,531,83,100,94,136,29,189,210923,29189210923,0.7777777777777778
Census Tract 2109.24; St. Louis County; Missouri,73354,644,66,8,72,189,29,189,210924,29189210924,0.5201863354037267
Census Tract 2109.25; St. Louis County; Missouri,66080,691,33,50,0,134,29,189,210925,29189210925,0.3140376266280753
Census Tract 2109.26; St. Louis County; Missouri,78614,269,0,0,8,25,29,189,210926,29189210926,0.12267657992565056
Census Tract 2109.27; St. Louis County; Missouri,108768,74,0,0,0,0,29,189,210927,29189210927,0.0
Census Tract 2109.28; St. Louis County; Missouri,115427,337,11,107,0,33,29,189,210928,29189210928,0.44807121661721067
Census Tract 2110.01; St. Louis County; Missouri,72577,527,0,0,0,90,29,189,211001,29189211001,0.17077798861480076
Census Tract 2110.02; St. Louis County; Missouri,64864,395,99,6,43,98,29,189,211002,29189211002,0.6227848101265823
Census Tract 2111.01; St. Louis County; Missouri,75920,1334,83,140,28,407,29,189,211101,29189211101,0.49325337331334335
Census Tract 2111.02; St. Louis County; Missouri,50804,1102,291,88,0,262,29,189,211102,29189211102,0.5816696914700544
Census Tract 2112.01; St. Louis County; Missouri,39212,1259,249,110,40,171,29,189,211201,29189211201,0.4527402700555997
